feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G78589	0.0862466553487906	0	0	0.000548463880291998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00378748345034177	0.0177675784093979	0	0.00142665839569528	0.0541796672140434	0	0.0323452706905447	0	0.0156396900574114	0	0.0110140974049968	0.0145874768851881	0.433059420532602	0.00171872356578747	0	0	0	0	0.326489616536107	0.00118919762880116	0	0	0	0	0	0	0
G78591	0.00539452232134688	0.0108094719913388	0	0.202834528687871	0	0.000116712507623018	0.00822636991970775	0	0.140632400924167	0	0	0.0497501692703734	0	0	0.113274116719317	0	0.133160353410154	0.00592520781635473	0.0132370283144331	0.00881674157403786	0	0	0.0502661726085426	0.00287717077816708	0	0	0	0.00458817401207171	0.000394503170707523	0	0.000334497834062689	0	0	0	0	0	0	0.0657634019365978	0.119819911643206	0.00137703736204624	0	0	0.000117244469827317	0	0	0.032796321034509	0	0.0294879416935379
G78592	0.0175506033649286	0	0	0.296332816776124	0	0.0574755762698331	0.00708424222481377	0	0.452376968431353	0	0.00524955714585782	0	0	0	0.00721647544556238	0	0.000109855291083463	0	0	0	0	0.000292031982130206	0	0.00330481334009418	0.00120210169446701	0	0	0.000162646861520794	0	0.000627904362831683	0.000414602005977959	0	0	0	0	0	0	0.0223405992097539	0.0291387090884401	0	0.0191352659388076	0	0	0	0	0.0786762233988719	0.00130900716754915	0
G78637	0	0.000521582792322215	0	0.0215421283831042	0	0.0006410185906235	0.00610299889192702	0	0	0	0.000430650478959239	0.000451098631197591	0	0.0126282831096249	0.111583862752002	0	0	0.0016778328552545	0.206585048589922	0.055397762259558	0	0.0029278036159459	0.0298860588680615	0.0208778732558462	0.0114187439226775	0.0227609621847054	0	0.00269156549349524	0	0	0	0.0290204204233046	0.061035875508551	0.36968245413766	0	0.026708539938417	0	0	0.000990805922094709	0	0	0.00386222220914091	0	0	0	0	0	0.000574407185604625
G78644	0.0241594388864087	0	0	0.134644076737684	0	0.000159650542029242	0	0	0	0	0	0	0	0	0.106685338677772	0	0.444118624492938	0	0	0.164874376431339	0	0	0	0.109411616561204	0	0	0	0.00185158275689322	0.00586566795373345	0.00809946279258789	0	0	0	0	0	0	0	0	0	0	0	0	0.000130164167410306	0	0	0	0	0
G78673	0.0582282500067367	0.0145490077079982	0	0	0	0	0.0841627818152634	0.00028850806475234	0	0	0	0	0	0	0.0933704361538975	0	0.00305862483875768	0.0342002146382841	0.127362544213495	0	0.130162390498741	0	0	0	0	0	0	0.000713654720577743	0.000697838034794365	0	0.00378121305778714	0	0	0	0	0	0	0	0.0349065468191473	0	0	0	0.068097861935564	0	0	0	0.346420127494203	0
G78675	0.22726881181614	0	0.0224938111438545	0.549926136004637	0.00390111647555164	0	0	0	0	0.00206145807985969	0	0	0	0	0.0189416274390587	0	0.00028531157007285	0	0	0	0	0.000166814350931482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167309437560164	0	0	0	0	0.00154297808872731	0	0.00610249747100262	0	0
G78677	0.0635238408066689	0	0	0.323936931699311	0	0.00484151449868741	0	0	0.126056822743902	0	0	0.000691791796268396	0	0	0	0	0.36139886078988	0	0	0	0.00244877229830835	0.00199467148628316	0	0	0.00159485304436196	0	0	0	0	0	0	0	0	0	0	0	0	0.0048035785241261	0	0	0.00732596100613607	0	0	0	0.0841001489166915	0	0	0.0172822523893753
G78679	0.0115425675502359	0	0	0.000119703867289941	0	0.00297488539576175	0	0	0	0	0	0	0.033428831775758	0	0.0725081746748147	0	0	0.00206641854579345	0	0	0.0929352935452336	0	0	0	0	0	0	0.00278250418047434	0	0	0.000360333069903394	0	0	0	0	0	0.0011431922904195	0.0184338866176369	0.000126320152471783	0	0	0	0.0604047497191641	0	0.554225953671346	0.0271453966330641	0	0.119801788310632
G78688	0.00678959819001341	0	0	0.179011449650315	0	0	0.121169949162946	0	0.000357050443748307	0	0	0	0	0	0.00695382259494165	0.093416561849959	0	0	0	0	0	0.0596716022165326	0.010485788680655	0.0177861878815817	0.00478694669769966	0.0570671078927484	0.366473272175968	0	0	0.00402893625958037	0.000450912143703203	0.00449717051958426	0.00485046112413552	0	0	0	0	0	0.00369404201110039	0.00206710587854887	0	0	0.0564420346262391	0	0	0	0	0
