feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G69217	0.0330537580141741	0	0.0028557629191692	0.573505165187277	0.000194231484923706	0	0	0	0	0	0	0	0	0	0	0	0.149290900054899	0	0	0	0	0.00108807637718074	0	0	0	0	0	0	0	0	0.0189728755031191	0	0	0	0.155245665322349	0	0	0	0	0.00323092373273708	0	0	0	0	0	0	0	0
G69229	0.215448874616787	0	0	0.00197526014176067	0	0.000458160339716741	0	0	0.00721975084118578	0	0	0	0.195040786871631	0	0	0	0.555336737848375	0	0	0	0	0.000149119639056464	0	0	0	0.00094702472315604	0	0.000327743163774669	0	0	0	0	0.000541871364458699	0	0.000242231901941486	0	0	0	0.000130217149598602	0.000476362736972459	0	0.000786603595693553	0.00293068597134243	0	0	0	0	0
G69235	0.15178337005585	0	0	0.308139176089345	0	0.00582959331775214	0	0	0	0	0	0	0	0	0	0	0.523075273508487	0	0	0	0	0.000227146496887913	0	0	0	0	0	0	0	0	0	0	0	0	0.00106221743590913	0	0	0	0.000597622333291625	0	0.00727228863748409	0	0.000106521805013486	0	0	0	0	0
G78529	0.0732143920101524	0.000406575437301195	0	0.0467044529714572	0	0.0283629386080094	0.00472483876792836	0	0.0167908452497253	0	0	0.0098943694204049	0	0	0.00276519318085754	0.000550837686461708	0.267711117347135	0.00056394334155188	0.00638345446059975	0.000548336607246027	0.000578449601002833	0	0.00154916846619316	0.00069950183504182	0	0.000353352471591492	0.00533110036980957	0.0100893535560594	0	0	0	0	0	0.000119351500172324	0	0.0282259795101586	0	0.00168792834107918	0.0334819474603291	0	0	0	0.425825743808453	0.000434587524516829	0.00114779527366058	0.0130477300955362	0	0.00292716307086508
G78531	0.000793961253530592	0	0	0.000948692679483203	0	0.000160732644800159	0.0025289136223567	0	0.00184667505970463	0	0.0296946309795519	0	0	0	0.0868787450731243	0.0450330462116856	0.000142728988257515	0.00398050844126442	0.00935870075212276	0.0119820335510142	0.503647290764754	0.0170807691042051	0.0141898819650271	0.0301854306609672	0	0	0.0754791298112647	0.00418384973988217	0	0.00143219087796732	0	0.0050582273259699	0.000807063914681072	0.0176081762205904	0	0	0	0.075546943584242	0.000309762912847599	0.0233218366650267	0	0.000692040553436403	0	0	0.000184637499876225	0	0.00108782093643219	0
G78540	0.00105955923536443	0.000409115931388587	0	0.780222801594682	0	0.0316855236193663	0.014431216796225	0.00149308805187378	0.00282789256169406	0	0.00243828692784051	0.00150389375512395	0.00251272621689728	0.00203137215822511	0.00387434487922726	0.000331074741248431	0.0642921333880022	0.00015748311959052	0.0113525918980038	0.00401651991921336	0.00271443267756722	0.000171390459884727	0	0.000365893118387885	0.00244709157493325	0.000366693540850861	0.00612413231703693	0	0.000236824996233012	0	0.000258936666772723	0	0	0	0	0.0017220088762849	0.000143075515256953	0.00518473650392677	0.0182012065968418	0	0	0	0.00582697547765711	0	0	0.00393917909872831	0	0.00307692400048746
G78546	0.193041934915469	0.00248066598571522	0	0.0145913881309243	0	0.038620027292726	0.443986710046487	0	0.00494703159104032	0	0.0235215256725829	0.0045969222781326	0.00202265380259115	0.0020508545527311	0.00520523845934302	0.00335658928527499	0.00580945453149054	0.0114570047563265	0.0159271236614894	0.026093894097583	0	0.000132803532573966	0.00011090295001847	0.00688058302350843	0.000312908323361401	0	0	0	0.000162704327935123	0	0.00193575149098966	0	0	0.00713148969762596	0.00298467939247184	0.000115503072381725	0	0.00242406448011517	0.0605186097950206	0.0292022767805624	0.0334060886019568	0	0.00028890768494442	0	0	0.00187214979918466	0	0
G78558	0.0374141399187986	0	0.00040470643779314	0.000364295809797977	0	0.0157524428924807	0.00117200823816664	0	0.0179330163833088	0	0	0	0	0	0.00150649620850284	0	0.6837398235736	0	0.00503802500057515	0	0.00766211513628084	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000461921485350647	0	0.00415889378906652	0	0	0.0250200802811139	0.0929881558849978	0	0.000142237408438419	0	0	0	0	0
G78559	0	0	0.00851083915930062	0.833371901990143	0.0143119384960264	0	0	0	0	0.00100295175231042	0	0	0	0	0	0	0.0870246904740284	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00944108716009746	0	0	0	0	0	0	0	0	0.00331307095446125	0	0	0.0282541579145484	0	0	0	0	0
G78561	0	0	0.030658690971553	0.0460338446615789	0.0489125602395389	0.0115884754959613	0.00220509493250241	0	0	0.00404342417727015	0	0	0	0	0.00602197853635586	0	0.042076035818015	0	0.00149676807116155	0	0	0	0.00497679134332959	0.210729741696738	0.000712527613695613	0.0227401727649422	0	0	0.000311655817556924	0	0	0.00159948646802642	0.00580633991547886	0	0	0.50507015806531	0	0	0	0	0	0	0.000391970201863154	0	0	0	0	0.000173431061503115
G78585	0.00295319438630302	0	0.00149996519872132	0.0932254045723866	0	0.0200629873056569	0.0512492455544125	0.0012557544967364	0.000799025323496439	0	0.0172213174781248	0.000195268269718535	0.00235114229430489	0	0.0234214611361986	0	0.104437534111772	0.0216395754925986	0.00500687099597248	0	0.00170335710986112	0	0.000673159027401544	0.000501058179514022	0.000465053398400024	0	0.00113430104289503	0	0.00562196103099239	0	0.000563038554802185	0.000113831271767097	0.000185038499039906	0	0	0.25766184750862	0	0.115213394019275	0.0741567108599446	0	0	0	0.00201496394808171	0.00175721384372802	0	0.0948859370540146	0.00104253398239557	0.0230356383146232
G78589	0.0819815683457425	0	0	0.000521341133815458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036001840545219	0.0168889325367772	0	0.00135610699684205	0.0515003633786706	0	0.0307457258377686	0	0.0148662729489357	0	0.0104694260377144	0.0138660940348193	0.411643678686248	0.00163372890121031	0	0	0	0	0.310343986140506	0.00113038918770691	0	0	0	0	0	0	0
G78591	0.00507428538031571	0.0101677854733369	0	0.190793590652363	0	0.00010978406165601	0.0077380250057469	0	0.132283989851029	0	0	0.0467968323345185	0	0	0.106549785170505	0	0.125255508142585	0.00557346760414449	0.0124512339098047	0.00829335021826212	0	0	0.0472822039835902	0.00270637226924656	0	0	0	0.0043158046115911	0.000371084139125328	0	0.000314640920552867	0	0	0	0	0	0	0.0618594657929577	0.112706999749708	0.00129529180493504	0	0	0.000110284444799383	0	0	0.0308494214019675	0	0.0277374385567029
G78592	0.0172849429996191	0	0	0.291847279571446	0	0.0566055786822442	0.00697700930875655	0	0.445529418623965	0	0.00517009553191306	0	0	0	0.00710724093873363	0	0.00010819243105788	0	0	0	0	0.00028761154589553	0	0.00325478896765788	0.00118390569466854	0	0	0.000160184904871805	0	0.000618399886037306	0.00040832624906659	0	0	0	0	0	0	0.0220024335282734	0.0286976416253949	0	0.018845618817629	0	0	0	0	0.0774853153819383	0.00128919295859616	0
G78637	0	0.000338416482239567	0	0.0139770932144932	0	0.000415909534751212	0.00395978442256972	0	0	0	0.000279417232143153	0.000292684525180166	0	0.0081935585483129	0.072398512495227	0	0	0.00108862159760521	0.134037752886415	0.0359435090723659	0	0.0018996351393905	0.0193908523421647	0.0135461072103818	0.00740877806321443	0.0147679042873358	0	0.00174635770089471	0	0	0	0.0188292036035978	0.0396016635979351	0.23985959183575	0	0.0173291954120495	0	0	0.000642860653520722	0	0	0.0025059102272637	0	0	0	0	0	0.000372690322585184
G78644	0.0239271663967566	0	0	0.13334958827428	0	0.000158115637636562	0	0	0	0	0	0	0	0	0.105659649739359	0	0.439848801046423	0	0	0.163289249306756	0	0	0	0.108359716775989	0	0	0	0.0018337813609766	0.00580927453725173	0.00802159333558089	0	0	0	0	0	0	0	0	0	0	0	0	0.000128912749470923	0	0	0	0	0
G78673	0.0401775753519009	0.0100388360188715	0	0	0	0	0.05807243919948	0.000199070975168877	0	0	0	0	0	0	0.0644257337938037	0	0.00211045549055939	0.0235981967605392	0.0878803367189546	0	0.0898122346394006	0	0	0	0	0	0	0.000492422772587785	0.000481509236893248	0	0.00260904238978946	0	0	0	0	0	0	0	0.0240855669703055	0	0	0	0.0469876216252922	0	0	0	0.239030380858143	0
