feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G69217	-4.82583607805268	-14.1303694594944	-8.35870226565398	-0.708915810288869	-12.2367294940849	-14.1619175651039	-12.3188000540975	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-13.899478476357	-12.5246495988567	-2.65059606053664	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-9.7507986501077	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-5.6267120366779	-13.9899739736524	-13.9525126675711	-14.1893981707568	-2.5941693030721	-13.9984550446263	-13.7350297435035	-12.9833928537858	-14.1855892540854	-8.18063178417263	-14.0293912046678	-13.9148239533664	-14.1938100562051	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69229	-2.18839425539348	-14.1303694594944	-13.9185028613783	-8.95755333907286	-13.3194415733445	-11.065671524394	-12.3188000540975	-13.1720208764657	-7.08764695828822	-13.2372730317637	-12.8382804767776	-14.1542290223575	-2.33196396655297	-11.2898380718778	-13.899478476357	-12.5246495988567	-0.82237697863863	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-12.6850538296286	-14.057088530768	-12.9903359895937	-13.8027470367344	-10.0181220133217	-11.8381445140661	-11.5489584143693	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-10.82357369371	-14.1893981707568	-11.9851352222177	-13.9984550446263	-13.7350297435035	-12.9833928537858	-12.8806046387464	-11.009463538548	-14.0293912046678	-10.285887321609	-8.38835761906103	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G69235	-2.71716081946077	-14.1303694594944	-13.9185028613783	-1.69559243701025	-13.3194415733445	-7.4196354995734	-12.3188000540975	-13.1720208764657	-14.2306259891933	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-13.899478476357	-12.5246495988567	-0.932155978460914	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-12.1013357806114	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-13.9525126675711	-14.1893981707568	-9.87595162562677	-13.9984550446263	-13.7350297435035	-12.9833928537858	-10.7057247735628	-12.758100234121	-7.10062128037018	-13.9148239533664	-13.1938100562051	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G78529	-3.74863572284448	-11.2410961252683	-13.9185028613783	-4.39720288660627	-13.3194415733445	-5.11675598077618	-7.70242599061206	-13.1720208764657	-5.87308813761287	-13.2372730317637	-12.8382804767776	-6.63608332416848	-13.0038614361946	-11.2898380718778	-8.47531081676488	-10.8029919174449	-1.8781578483751	-10.7690689598993	-7.26835372775931	-10.8095573926919	-10.7324279185635	-14.0971949408276	-9.31119704947848	-10.4582913425399	-13.8027470367344	-11.443511184392	-7.52825774546607	-6.60792925365282	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-13.9525126675711	-13.0094024843453	-14.2379581130993	-5.12373934796703	-13.7350297435035	-9.18743743224681	-4.87737955091475	-12.758100234121	-14.0293912046678	-13.9148239533664	-1.20857172768052	-11.1449724242361	-9.74382575088344	-6.23696415088291	-12.602001735786	-8.39318796990784
G78531	-10.2459948756654	-14.1303694594944	-13.9185028613783	-9.98912266436638	-13.3194415733445	-12.5504005089901	-8.57461762312676	-13.1720208764657	-9.02820535169901	-13.2372730317637	-5.02100518523994	-14.1542290223575	-13.0038614361946	-11.2898380718778	-3.47220402517991	-4.42022321882491	-12.7217851031895	-7.92018266230287	-6.68682712671278	-6.33033451102413	-0.936865440896745	-5.81883435198925	-6.0863447005989	-4.9973549048635	-13.8027470367344	-13.540145857692	-3.67512949895339	-7.84830434513382	-13.5041336452572	-9.39491160089186	-14.1712586813638	-7.57450350843096	-10.2223805481971	-5.77496180061114	-14.2379581130993	-13.9984550446263	-13.7350297435035	-3.67383390014248	-11.6038990549906	-5.36952587974931	-14.0293912046678	-10.4442068971486	-14.1938100562051	-12.1449724242361	-12.3503678850194	-13.1984422655471	-9.79169428664046	-13.4125744249568
G78540	-9.84641420628959	-11.2192968276429	-13.9185028613783	-0.322136100335621	-13.3194415733445	-4.94412649919677	-6.07875740758628	-9.35157920305271	-8.43015114127864	-13.2372730317637	-8.64401054455858	-9.34117580186462	-8.60062496531499	-8.90742387779831	-7.97592606827947	-11.5246495988567	-3.92330813211495	-12.5966093496618	-6.42492864092376	-7.92393241976011	-8.48922774800006	-12.4745197390853	-14.057088530768	-11.3803842638279	-8.63881036019492	-11.3772316921481	-7.31537299726503	-14.1376919904266	-12.0079851844347	-14.1228384818334	-11.8792072731768	-13.9899739736524	-13.9525126675711	-14.1893981707568	-14.2379581130993	-9.14578587179616	-12.7350297435035	-7.55560778010183	-5.74391626326527	-12.758100234121	-14.0293912046678	-13.9148239533664	-7.38713121184536	-12.1449724242361	-14.1097985346156	-7.95198343906093	-12.602001735786	-8.30838964129771
G78546	-2.29168770651318	-8.57373068386097	-13.9185028613783	-6.0174129441691	-13.3194415733445	-4.61318089885164	-1.09008549509572	-13.1720208764657	-7.5778950652074	-13.2372730317637	-5.32854844220742	-7.68378990339718	-8.86820876822433	-8.8482329985324	-7.50449392063784	-8.1374621589666	-7.34605546690192	-6.36630015796836	-5.89104433396913	-5.17881782324078	-12.6453987714651	-12.7970927495828	-13.057088530768	-7.10192736127243	-11.5606462376888	-13.540145857692	-11.8381445140661	-14.1376919904266	-12.5041336452572	-14.1228384818334	-8.93156442420651	-13.9899739736524	-13.9525126675711	-7.05025470471174	-8.30688220881312	-12.9984550446263	-13.7350297435035	-8.60703010256939	-3.96515123566657	-5.01644922824445	-4.82241901007248	-13.9148239533664	-11.6757776923651	-12.1449724242361	-14.1097985346156	-8.97976230147449	-12.602001735786	-13.4125744249568
G78558	-4.5782293132127	-14.1303694594944	-11.1087933150245	-11.2605587126059	-13.3194415733445	-5.82623734440261	-9.57475830808482	-13.1720208764657	-5.63919474990368	-13.2372730317637	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-9.21254397672034	-12.5246495988567	-0.386437373212402	-13.5966093496618	-7.47088273744728	-12.4246629198874	-6.86599831386708	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-14.1712586813638	-13.9899739736524	-13.9525126675711	-14.1893981707568	-10.9180214618086	-13.9984550446263	-7.74754117720684	-12.9833928537858	-14.1855892540854	-5.15872650520573	-3.26476595530384	-13.9148239533664	-12.6173681699633	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G78559	-13.9581342792594	-14.1303694594944	-6.85501629501076	-0.241501033410898	-6.10517049448528	-14.1619175651039	-12.3188000540975	-13.1720208764657	-14.2306259891933	-9.94006547629205	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-13.899478476357	-12.5246495988567	-3.50096480954109	-13.5966093496618	-13.3075699039634	-12.4246629198874	-12.6453987714651	-14.0971949408276	-14.057088530768	-12.9903359895937	-13.8027470367344	-13.540145857692	-11.8381445140661	-14.1376919904266	-13.5041336452572	-14.1228384818334	-6.70536468368931	-13.9899739736524	-13.9525126675711	-14.1893981707568	-14.2379581130993	-13.9984550446263	-13.7350297435035	-12.9833928537858	-14.1855892540854	-8.21614858080423	-14.0293912046678	-13.9148239533664	-5.12392639535707	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-13.4125744249568
G78561	-13.9581342792594	-14.1303694594944	-4.94678444373602	-4.36038560474927	-4.27287556164903	-6.35038975626097	-8.74416787123985	-13.1720208764657	-14.2306259891933	-7.86943108031776	-12.8382804767776	-14.1542290223575	-13.0038614361946	-11.2898380718778	-7.29477107246009	-12.5246495988567	-4.49008175564319	-13.5966093496618	-9.30315794979312	-12.4246629198874	-12.6453987714651	-14.0971949408276	-7.5697927365195	-2.16575850295948	-10.373990807077	-5.37783732864086	-11.8381445140661	-14.1376919904266	-11.5669830901169	-14.1228384818334	-14.1712586813638	-9.20739985143396	-7.34737960558154	-14.1893981707568	-14.2379581130993	-0.904668645639446	-13.7350297435035	-12.9833928537858	-14.1855892540854	-12.758100234121	-14.0293912046678	-13.9148239533664	-11.2361927505764	-12.1449724242361	-14.1097985346156	-13.1984422655471	-12.602001735786	-12.4125744249568
