feature,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero
Bifidobacterium_bifidum,country,FIN,-6.28994121339958,0.984122427033801,2.35405187989013e-09,countryFIN,2.63653810547694e-07,147,87
Veillonella_parvula,country,FIN,4.5693463956512,0.863566478999951,4.6584168896615e-07,countryFIN,2.9580832737299e-05,147,86
Veillonella_parvula,country,EST,4.80095005959107,0.912112538378809,5.28229156023196e-07,countryEST,2.9580832737299e-05,147,86
Enterococcus_faecalis,country,FIN,-3.11594417845617,0.696891063289876,1.609594164787e-05,countryFIN,0.000540823639368433,147,55
Veillonella_atypica,country,FIN,2.8510096025925,0.648096788793649,2.1575948651973e-05,countryFIN,0.000659047158823903,147,53
Enterococcus_faecalis,country,EST,-3.1407753537237,0.736067334905055,3.65830274624113e-05,countryEST,0.00102432476894752,147,55
Veillonella_atypica,country,EST,2.81094446639107,0.684530052424329,6.84899371497128e-05,countryEST,0.00164375849159311,147,53
Flavonifractor_plautii,country,FIN,2.66301305453414,0.678739237304629,0.000137092625265959,countryFIN,0.00307087480595748,147,54
Bifidobacterium_bifidum,country,EST,-4.00696684726609,1.03944563253174,0.000176809406354095,countryEST,0.00349458591382212,147,87
