feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G69157	0.00399690299887465	0.00247866302697892	0	0.00039709510352579	0.313786695099598	0.0661036593571308	0	0.00636775014611757	0.000208317113356073	0.0302942581931802	0.00393107118383139	0.0064660469658397	0.0107516279847138	0.000697997600595673	0.00287465592355574	0.00252986554979035	0.00372626109258568	0.00748849421196061	0.0127339972827593	0	0.0170126644580443	0	0.0177072552371614	0.0062596336644864	0	0	0.00028306678462285	0.000432966929683305	0	0.0024266588991137	0.000609119640255684	0	0.000435071142949528	0.000100200631724903	0.000755111960678867	0	0.00170882157343649	0	0.000455311670557958	0	0.0213972437010626	0	0.00331774311704326	0	0.00152244839842817	0.000382566011925679	0.00256854299363616	0	0	0	0	0.000357115051467553	0	0.00722376414294342	0.000653308118846366	0.000120441159333333	0	0.000296894471800887	0.120395467845267	0.0405678289639345	0.0335612997905707	0.000666735003497503	0.00362746326970493	0	0.0019281607562823	0	0	0.00310982680621408	0	0.000910823742379366	0.00209048577967665	0.00277645930446533	0.0410302548793449	0	0.0011294615208031	0
G69158	0.0172071775660559	0	0.000779939776928623	0	0.000365018615949413	0.00142057244919491	0	0.505800595830387	0	0.00603850796390616	0.00317556195365964	0.0109318575247338	0.00912406532733169	0	0.0966431287995688	0.000218911164469388	0	0.000407920803961002	0.2174931921528	0	0.000584529811020362	0	0	0.000436122242234354	0.00360888405308671	0	0	0	0	0.0433950131456704	0	0	0.003156860999911	0	0	0	0	0	0	0	0.0230915776704612	0	0.00406010706546034	0	0	0	0	0	0	0	0	0.0284984534211245	0	0	0	0	0	0	0	0.00210240722276836	0.0208879652862296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G69159	0	0.101865101574067	0	0	0.0448386268288673	0	0	0.0481915251531882	0.00803905503973872	0.0503070764806859	0.0697443856330132	0	0	0	0.0384450672739922	0	0.00326698811818844	0	0.00791884075828208	0.00631555028737414	0.0197531466738248	0.0016176921818312	0	0.10402425808186	0	0	0	0.0612889811309584	0	0.00764720848836842	0.00161189149270933	0.00122344534530702	0	0	0	0.000867303035600629	0.05761104419205	0	0.0069624271363438	0	0.0205828452420148	0	0.00177001027722093	0	0	0	0.049381366506341	0	0	0	0	0	0	0	0.159365532625276	0.00204664314120518	0.000913508524812748	0	0	0	0	0	0.0134884024222078	0	0.0381222289207958	0	0	0.00167199863343765	0	0.005372538257545	0	0	0.0458261441459245	0	0	0
G69160	0.00144096960541317	0	0	0	0.184761568889539	0	0	0.0347131948387543	0	0.000670725492739692	0	0	0	0	0.00453994942453733	0	0.0200400494932602	0.000104419536895353	0.00548212570571954	0.00082265391854816	0.0838790937784459	0	0.261556237171975	0.0297613683520187	0	0	0.0102851243467653	0.00111370837483693	0	0.00274581374175108	0	0	0	0.000214740177887283	0.045263368776298	0.00707192315682264	0	0	0	0	0	0	0.00737878056984462	0	0	0	0	0	0.000141426460890833	0	0	0	0	0.0098542437290017	0.216795762487161	0.0214188074588756	0	0	0.00759682136527744	0	0	0.000153928800078495	0.00287253745175722	0	0.000776545291624063	0	0	0.00249516684571683	0	0.0207603842678965	0	0	0	0	0	0
G69161	0.00920165516943317	0	0	0	0.319705194079031	0	0	0.000345752373070812	0	0	0	0	0	0	0	0	0	0.124083483591219	0	0	0	0	0	0	0	0	0.00150896500087589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225699465754558	0	0	0	0	0	0	0	0.00212783773809118	0	0	0	0	0	0	0	0	0.00288427109827301	0	0.422928784715424	0	0	0	0	0	0	0	0	0	0	0	0	0
G69162	0.032755210590284	0	0	0	0.0848389616652447	0	0	0	0	0	0	0	0	0	0	0	0	0.0207363526873092	0	0	0	0	0	0	0	0	0	0	0.000488338920611973	0	0	0	0	0.000524141774099396	0	0	0	0.000279422269954915	0	0	0	0	0	0.00664342948132966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166823295816677	0	0.000386830830417184	0.00315565150542498	0.816339062223259	0	0	0	0	0	0	0	0	0	0	0	0	0
G69163	0.0011177294571342	0.0226957833786571	0	0	0.0681472070148653	0	0	0.000977161041373335	0.0033244129539109	0.0148391920384135	0.000741242723052849	0	0	0	0	0.000652008849994952	0.00191642275239174	0	0.000262287429122988	0	0.0243415968912924	0	0.119776522287263	0.00810504250590372	0	0.0116469254268512	0.00130251375830915	0	0	0.123938530494573	0	0	0	0	0	0	0	0	0	0.00158455295483934	0	0	0	0	0	0	0.00138733606910351	0	0	0	0	0.00723626552832318	0	0.0324543596311573	0	0	0	0	0.104155581363195	0	0	0	0.00970824433758437	0	0	0	0	0	0	0	0	0	0.244996511356615	0.018382478638263	0	0
G69164	0	0	0.00111867260185186	0.00365973751696485	0.0223966535428149	0	0.00126438205839559	0.0152189877123025	0.000101306574796704	0	0.0102466650085591	0	0	0.00119887780716969	0.00250526259154219	0.135359884856527	0	0.0111027205665648	0.00858355707285403	0.13148603344357	0.131488033573379	0	0.00853675403533689	0.0237568418190341	0	0	0	0	0	0.00153539964743712	0.00121917912472519	0	0.000712946270212937	0.01283473297417	0.0297186287390052	0.000243615810666112	0.10576426410074	0.00179661660041737	0	0	0.000957162119821576	0	0	0	0.00938650918444607	0	0	0	0	0.0136998891228041	0	0	0.000283518400344182	0	0	0.00482411308493921	0	0.00516203501607254	0.0100771540072951	0.00116677572374447	0	0.000660842888703477	0.00923329924112075	0	0	0	0	0	0.267153038232181	0	0	0	0.0108992073585576	0	0	0
G69166	0	0	0	0	0.00700633712851596	0	0	0.0359072277430627	0.000213834705372682	0.0226783807011878	0	0.120141098900352	0.0499396051979236	0	0.00454683795179958	0	0.00199272341901091	0.00513423328606233	0.0100157255522571	0	0.0785420473742889	0.00372950529870998	0.0273391371419581	0.0193329377357945	0.0361079603219603	0	0	0	0.000437270969078281	0	0	0	0	0.00167007105253183	0.000602197736692665	0	0.0119935465526055	0.00286506500004951	0	0	0.000122219836279428	0.000237138487576534	0	0	0.00364559167952959	0.00120869617138862	0	0	0	0	0	0	0.000417867819947177	0.000502081487825474	0.00159845942996548	0	0.00016702710849971	0	0	0.496414868133098	0	0.000561291097545132	0	0	0	0	0	0	0.000837235883383873	0	0.0176625666345648	0.000149724300253931	0.00274234508260691	0	0	0
G69167	0	0	0	0	0.00341126003817667	0	0	0.00492428666744535	0	0.0405594138456837	0	0.202163458076862	0.063852823809699	0	0	0	0	0	0.00625061001073619	0	0.0255796502018436	0	0.0174768075918136	0.0104019830749021	0.0758566350767774	0	0.00012800225283965	0	0	0	0	0	0	0.00143772530396535	0	0	0.0262641622492556	0	0	0	0	0	0	0	0.000463108150703452	0.000395206955642419	0	0	0.000332005843302842	0.00853585023096407	0	0	0.000427207518852332	0	0.00273454812804705	0	0.00601040578314178	0	0	0.270773165607715	0	0	0	0.00716632612733984	0	0	0	0.068511205797222	0	0	0.0231549075263725	0.0339212970148275	0	0	0	0
