feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G78844	0.0060005492484397	0.162322400798279	0	0	0.0694716909037106	0.177865890566969	0	0.00635553168916395	0.0192089295662203	0	0.0607516185652401	0	0	0	0.0470423051880674	0	0	0.0766306039060926	0.0145329851411623	0.010074811494681	0.0198238708514817	0.00324717525786451	0	0.100261144128295	0.0179479081851076	0.000589025759028598	0.00551920350538631	0	0.000426199913976525	0.000817444001871543	0.000855312813459841	0	0	0	0.0131265153802621	0.00552121246090824	0.00171112786580016	0	0	0.000551759634096877	0.00807961731808054	0	0.00205204761787094	0.000418565882993207	0	0	0.00144634752801036	0	0	0	0	0	0.00203818582476966	0	0.0899593206596365	0	0	0	0	0.000210638986473903	0	0	0.016180027325813	0	0	0	0	0	0	0	0	0	0	0.000197781671133579	0	0.0587622503596533
G78845	0.00166974617754451	0	0.00143653843640744	0	0	0.000293554892374362	0	0	0	0	0	0	0	0	0	0	0	0.912753956058562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169460750393452	0	0	0	0	0	0	0	0	0	0	0.00167176483225139	0.000158411271997891	0	0	0	0.00277395030220855	0	0.000683367740771587	0	0	0	0	0	0	0	0	0	0	0	0.0780842201867808	0.000305029350708213	0	0
G78847	0.000308523159701942	0	0	0	0.325757424910175	0	0	0	0	0	0	0	0	0	0.000177547390219296	0	0	0.636527527035877	0.00592875537620135	0	0.000696583125365051	0	0	0.000541823749092904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109723180941256	0	0.00148984937786509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00920646825607533	0	0.00546182233313864	0	0	0.00274274765925061	0	0	0	0	0	0	0	0	0	0.000188609532912087	0	0
G78849	0.0577094978873095	0	0	0	0.00014732977938527	0	0	0	0	0.000266060855974661	0	0	0	0	0	0	0	0.129130266987991	0	0	0	0	0	0	0	0	0.000116872677129731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000357948384813407	0	0	0	0	0	0	0	0	0	0	0.812272023427397	0	0	0	0	0	0	0	0	0	0	0	0	0
G78850	0.0831908974451182	0.00795785607147957	0	0.00875337066998548	0.0437970812369251	0	0	0.0545447628101095	0.000959787529224634	0.00495789463809402	0.0594092637007898	0	0	0	0.00771707531642865	0	0.0788166094942666	0.00665055207587408	0.00540526736566049	0.0157144361091915	0.0128988647864921	0.00577832118484978	0	0.0425861937774331	0	0	0.00179730846724808	0.00584107010889336	0	0	0.00128343438828659	0	0	0.0108624433096826	0.0116563943967921	0.000371386073699758	0.0221512040601264	0.00543445291172727	0.00475891175437445	0.00845995169792126	0.00343159481289459	0	0.00101982636684772	0.000365757432672593	0	0	0	0	0.00518616730197346	0.000546290881914238	0.00911485450484115	0	0	0.00450249588535918	0	0	0.000584440559987242	0	0	0.235611786374311	0	0	0.00152838450706134	0	0	0	0.087222255229685	0	0	0.0147207724997108	0	0	0	0.000378578226123357	0	0.124032004035944
G78851	0.000982134892950609	0.000153081492589507	0	0.00295113671880823	0.065043190511692	0.000253755642661896	0	0.0224192223034293	0.00250526025391653	0.00299206886443108	0.0875345764244564	0	0	0	0.00191978861031107	0.120192158678549	0.0111806274069817	0.0359785278954938	0.000946644593277617	0.000818997815453754	0.0948201434423272	0.00139654329213225	0	0.0249482610581267	0	0	0.000137347459734481	0.000152844890591687	0	0	0	0	0	0	0.0213385426783867	0.00178350585956678	0.0965596413302995	0	0	0	0.00138128246327286	0	0	0	0	0	0	0	0	0.00165964471370803	0.00594178597125238	0	0	0.0397639232586152	0	0	0	0.00661101472208611	0.00198154173174207	0.233544271901123	0	0	0	0	0.0111160350615769	0	0.0274476062620978	0	0	0.0271311510900136	0	0	0	0.000303087159207355	0	0.0461106535491364
G78852	0	0	0.0118688611537036	0	0	0	0	0	0	0.486346219881617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245007326667369	0	0.0321480904766924	0	0	0	0	0	0	0	0	0.224629501820617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G78854	0.000172197455165377	0.00029876727248294	0	0	0.00177666521345765	0.0050427915363857	0.00355697647103556	0	0	0.0160430108198964	0.00288943787896071	0.0012090282302779	0.0155325646430601	0.000648995853406108	0.00269432243218228	0.000794108409392418	0.00158321652970562	0.000428774788542463	0	0.0130447124807736	0.019431540052576	0	0	0.00874113034659816	0.0106809299912651	0	0	0.000488778257493011	0.000295850437186733	0	0	0	0	0.00162061452511057	0.00122517499709619	0.000216262502675936	0.00598795034504599	0	0	0	0	0	0	0.000273244963641127	0.0015112332015028	0	0.00882269756220281	0	0.00241701473366429	0	0.000480861133117592	0	0	0	0	0	0	0.000164176158100807	0	0.191085109607899	0	0.0038739739641198	0	0.0089192656450451	0.00379084415817789	0.0185022154926665	0.0173086048203828	0	0	0.000231575887981024	0.0069003989293131	0.00144216670859617	0.00153592212883141	0.608118802701615	0	0.0102180907333705
G78855	0.000191708281391164	0	0	0.000453248794657052	0.0112700277214647	0.000142205665782735	0	0.00744033460922005	0.000301894801554484	0.0228668540244102	0.021893167053336	0.0238701205871518	0.0136607905943811	0	0.00565864703964194	0.107680793310418	0.0226170030404974	0.0188393537458944	0.000317650254160863	0.0158419551235919	0.0179731087967876	0	0	0.0248577333453685	0	0	0	0.00329512585252246	0	0	0.000553270506687224	0	0	0	0.00312679662983753	0	0.000239584527698289	0	0	0.00190976415205577	0.000519015103278517	0	0	0	0	0	0.0141437206287869	0	0	0.0044840018117754	0	0	0	0.00198030792049982	0.0246215032043541	0.000571465513245558	0.000523284322694438	0.0011344942357406	0.0011658018447907	0.492194138890312	0	0	0.00224083195295239	0.0420428662156745	0.000346315013096339	0	0	0	0	0.00101221159389884	0.0510107681911439	0.00501978884847361	0	0	0	0.0319883462507715
G78856	0	0.0130745083340166	0	0	0.0745793166457779	0.167216333032692	0	0.00558502102538273	0.00220456116102281	0.00517212701908097	0.0342347112084617	0	0	0.00484321741065677	0.000761481967366732	0.00492521054665995	0.00857765335644759	0.000556499127358767	0.00184753962025465	0.000722945193445234	0.0564022583252316	0.000138919798999684	0	0.0376402375458283	0.0349062349923278	0	0.00123013130615066	0.00421819544820962	0	0	0	0.00188595926112471	0	0.00158258465791292	0.00325313623745212	0.00230576411746102	0.000121232708233282	0.000241762618157966	0	0	0.000519250817003034	0	0.00028580464549682	0.000182610427184239	0.00121256134843569	0.0231703231700889	0.0550904852822321	0	0	0.0108631534560107	0	0	0	0	0.0327864781605426	0.00023180630878615	0.000451899312428988	0.00121361554589859	0.0058600494301477	0.253634052920713	0	0	0.00154920173825448	0	0.014616916355288	0	0.089503472994975	0	0.000678434633900648	0.00951026671195811	0.0174987408196971	0.0129133332552446	0	0	0	0
